labels,sentences
1,好不容易 凌晨 四点 前有 睡意 一整夜 噩梦 纠缠 动弹 现实 意识 都 只 剩下 混沌 破碎 恐惧 悲伤 冷寒彻 骨髓 冷 早上 八点 听到 闹钟 挣扎 却 越 捆 越深 最终 十点 小狗 舔 醒 醒来 发现 不知 衣服 床单 枕头 被子 全 冷汗 湿透 枕头 刺眼 白色 刮眉刀 脸上 全是 黏腻 泪痕 眼神 茫然 办法 醒来 只得 麻木 地戴上 熟悉 冰冷 面具 或者说 从未 摘 下过 戴得 久 想 去 摘下来 却 发现 早已 紧紧 粘 脸上 一碰 便 撕扯 血肉 真的 一万次 想 爸拉黑 冲动
1,好久 超话 上 发帖 再次 抱 侥幸心理 尝试 法国 一个 病友 当地 住院 挺 担心 感觉 法国 精神科 医疗 体系 真的 很棒 祝 快快 恢复 担心 一到 国外 住 进 当地 精神病院 学业 还 想 考个 好 学校 学 临床 真的 好 害怕 好 害怕 念书 一个 朋友 说 病史 会 陪 去 医院 好 担心 想 住院 想 看着 血管 想 啃 想来 点 痛感 冷静 冷静 室友 签证 快快
1,好 累 好 崩溃 终于 事情 大概 都 做 完 情感 只能 感受 压抑 强行 压住 思念 爱意 思考 纯粹 心理学 理论 状态 分解 情感 早已 情感 无话可说 好 累 无力 妥协 仅仅 心 痛 说 早 伤痕累累 再 违背 本心 自欺欺人 难道 这份 爱 不堪 强行 吞下去 眼泪 去 或许 流入 血管 爱 痛 并存 一点 幸福 是因为 爱 一点 痛苦 是因为 无能 好 累 真的 日常 感觉 活不下去 无法控制
1,好 累 崩溃 失眠 睡不着 好像 永远 都 戒 不 掉 深夜 网抑 云 熟悉 冰冷 孤独 无助 恐惧 心脏 真实 抽搐 刺痛 冰山一角 或许 无比 厌恶 原因 晚安 好 梦 早点 睡
1,好累 好 难受
1,好累 好 混乱 头疼 肚子疼 心脏 疼 恶心 想 吐 崩溃 想 哭 做 不到 终究 做 不到 前 几天 刚想 说 马上 水逆 还 没 正式 还 不至于 发现 我错 情绪 本来 不 受控 情感 星象 来说 都 雪上加霜 生理期 都 我命 身体 上 无力 情绪 反扑 控制 不住 只能 陷入 陷入 纠结 自我 攻击 熟悉 胆怯 退缩 一遍 遍 自我暗示 不 爱 魅力 想象力 一错再错 不 值得 爱 永远 得不到 爱 太 自大 骗 都 做 不好 勇敢 执念 愚蠢 人会 爱 不配 都 不配 连去 爱 一个 人 都 不配 太 差劲 太 罪恶 错误 伤害 别人 既然如此 别活 活着 浪费 世界 资源 玷污 爱 一切都是 错 活该 说 爱 还 想 去 伤害 对不起 世界 不 算是 清醒 不 清醒 水逆 本身 回忆 痛苦 都 心脏 里 却 流不出 一滴 泪 太痛 承受不住 只 想 吐 心 疼 状态 不 受 控制 影响 牌 最 喜欢 链接 最深 灵眼 都 污染 牌 感受 不 快乐 不 快乐 最 付出 状态 却 满身 宝剑 却 都 做不了 想 一辈子 做个 钓鱼 人 白痴 生活 做 不到 太 理解 鱼 心情 懂 大半夜 崩溃 满手是血 封闭 都 懂 说出 安慰 向来 讨厌 温度 生物 那一刻 却 一个 机器人 感动 都 想 笑 水逆倒 物化 生 考试 带 爸妈 不想 去 考说 考 考 再 休 一年 报名 考过 早点儿 离开 家人 都 好 感觉 说不定 活 不到 到底 发明 高 学期 就要 考 结业 考 东西 都 选科 还 不放过 九门 都 优秀 那选 科 物化 上辈子 血海深仇 道歉 跪下 来求 这次 考完 再 纠缠 谢谢 听 絮絮叨叨 抱歉 耽误 时间 永远 爱
1,好像 全世界 一个 人 冬天 做 蝴蝶 夏天 做 深色 好不容易 春天 雪化 跑 去 做 雪花 雪人 好像 全世界 一个 人 一个 不停 散架 本子 花 几十 上 百倍 价值 去 修补 不 换 一个 更好 看 新 从不 缺新 好看 本子 离谱 人 黑暗 里 生长 向日葵 作茧自缚 小 蝴蝶 与其说是 疯子 不如说是 傻子 一个 刚 写 本子 一个 破碎 锋利 杯子 一份 不 爱 一个 从未 拥有 人 明明 换 一个 新 好 明明 放手 好 烫 偏 不 一遍 遍去 修补 裂痕 再次 注入 开水 一次次 再度 烫伤 依旧 无数次 循环 有人 说 说 勇气 大部分 人 说 执念 错误 痛苦 原因 来说 真的 不 本身 样子 没 兴趣 去 定义 浮云 想 一遍 遍去 沉浸于 痛苦 快乐 绝望 希望 情绪 中 瞬间 永恒 姐妹 美甲 真的 很 治愈 安利 一个 吃土 不 呼吸 做 美甲 人 指甲 折腾 很 薄 很脆 作 款式 做 建构 养好 做 美甲 来说 等于 拥有 一个 温柔 漂亮 美甲 师 小姐姐 陪陪 永远 踩 雷 审美 建议 感情 八卦 星座 搭子 搞笑 发疯 搭子 朋友 聚会 见面 基地 美食 宠物 搭子 活 一点 希望 难道 三个 月 前 每次 寒风 往返 四个 小时 花钱 花力 花 情绪 去 咨询室 挨骂 崩溃 下次 指责 香 一百倍 好 喜欢 这次 立体 小雪人 小姐姐 画 好久 尊嘟 好 可爱 愿 都 找到 浑浊 世间 里 一点点 清澈 本身 不 同流合污 美 晚安
1,很多 人 都 妄图 站 一个 拯救 角度 教育 非常感谢 想 诚意 想 说 人 世界 都 不 保证 眼睛 真实 经历 去 衡量 别人 痛苦 痛苦 人 请 多一点 支持 陪伴 仅此 好 没想 拉 上岸 陪 身边 都 不 说 很 发现 很 可笑 事情 我能 拯救 很多 人 唯独 救 不了 有时候 读书 懂 道理 改变 不了 心理学 爱好 人士 哈哈哈哈 哈哈哈 刚刚 听 完 个案 分析 课 有意思 真的 挺 有意思 粗糙 治疗 一株 小花 人本主义 无条件 这朵 小花 自我 成长 能力 持续 浇水 不离 不弃 会 关注 这朵 小花 成长 不好 会 关注 小花 生长 底下 土 会想 去 土换 一遍 小花 成长 更好 精神分析 挖 更深 一点点 从土 表面 挖起 挖到 这朵 小花 种 下 改变 种花 人 朵花 种 一遍 更 偏向 精神分析 做 咨询 精神分析 学术 都 过于 上头 精神分析 风险 时间 金钱 不 说 更 不 挖 究竟 到底 种花 人 挖 一个 核心 会 触 碰到 一个 核心 触 碰到 一种 会 朵花 路边 野花 种花 人 都 潜在 危险 相处 都 意义 咨询 感受 很多 东西 眼睛 看不到 用心 去 感受 抓取 感 目的 感太强 很 丧失 挖 核心 来说 一个 初阶 女巫 疗愈 师小白 都 会 持续 去 探索 东西 样子 世界 多元化 并非 自卑 更 广阔 视角 看 世界 独立 思考 不 武断 不 同流合污 感觉 扯远 哈哈哈哈 情绪 感受 太 敏感 飞蛾扑火 人 作茧自缚 小 蝴蝶 我能 听到 感受 东西 太多 无力 改变 对待 坚守 爱 明知 明知 底下 痛苦 依然 毫不犹豫 往下跳 清醒 堕落 想 世界 样子 坚信 黑暗 里 长出 向日葵
1,很久没 享受 宁静 独处 时光 感觉 近 三个 月 第一次 接近 心 哭 崩溃 发现 仔细 后 居然 讨厌 一种 黑暗 中 生长 痛苦 美 致超话 宝子们 都 是夜 空中 星星 天空 黑暗 程度 星辰 会 熠熠生辉 真心 爱 一个 人 都 美好 善良
1,很 喜欢 一句 话 自杀 时刻 都 渴望 意外 夺去 生命 眼泪 真的 很 奇怪 疼 忍住 累 忍住 委屈 忍住 唯独 强 装笑脸 偶然 一句 很 难过 抱抱 再也 忍不住 溃坝 狼狈不堪
1,换 见面 视频 真的 不 终于 呼吸 表达 舒服 真的 表达 太蠢 都 不谈 说话 沟通 感觉 真 好 内心 感受 怀疑 都 真实 意义 或许 宇宙 指引
1,回到 家 猫咪 窝 一块 睡觉 下辈子 一只 猫 算了 下辈子
1,回 妈妈 家 妈妈 捡 流浪 猫 回家 电视 里 娱乐节目 里 主持人 问 想念 人 想 好像 不 好像
1,毁灭 好 痛苦 好痛 真的 心脏 抽搐 说 可爱 爱我吗 没关系 不 爱
1,会 一瞬间 情绪 都 背叛 好 难过 好 难过 心脏 痛 好像 某种 东西 压住 直觉 麻木 眼泪 身体 都 不 感受 压住 动弹不得 绝望 痛苦 无穷无尽 思念 失控 一个 人 夜晚 酒精 幻境 都 放下 防御 心墙 全文
1,住院 躺 病床 上 才 发现 很多 纠结 事情 都 没 纠结 放不下 都 放下 生活 都 自理 情况 下 真的 人生 破破烂烂 样子 不必 事 任何人 浪费 时间 情感
1,惊恐 发作 感受 真的 好 痛苦 有时候 懂 道理 做 还 能力 去 分析 别人 只能 看着 地被 沼泽 缠陷 黑色 恐惧 吞噬 情绪 身体 僵硬 动弹 眼泪 都 卡 喉腔 失控 反扑 或许 有迹可循 好像 去 分析 全文
1,看 没到 水逆 情绪 波动 太 天天 失眠 噩梦 居然 都 分析 不清 梦 牌 头疼 躯体 化 全身 都 疼 无力 都 崩溃 想 哭 想 发脾气 不想 加药 劝 找 一个 熟悉 隔音 环境 我用 亲身经历 证明 到处跑 隔音 不好 房间 真的 人 神经衰弱 想 死 想 死 想 死 好 累活 好 累 撑不住 撑下去 春天 好 冷 好 冷
1,不想 睡着 不想 醒 不想 吃 东西 不想 都 不吃 剧烈地 疼痛 酥麻 快乐 活着 早就 死 既想 忘记 不想 忘记 想 去 爱 这次 真的 不配 世界 之大 容身之地 天地万物 繁多 方向 都 影子 想 死 不想 死
1,两天 半 吃不下 东西 只 狂 缺水 头晕目眩 狂给 灌冰 美式 冰淇淋 空腹吃 药 吃 胃 绞痛 拉肚子 都 明白 只能 抗 父母 还 不肯 不放过 一点 朋友 去 狗 咖要 稍微 平复 一点 疼痛 心脏 身体 真的 极限 明明 家才 去 勉强 真的 撑不住 爸妈 我姐 两公里 我爸 不来 接 一顿 骂 永远 自我 突发 情况 都 会 理由 我妈 说 爸 身体 不好 很 辛苦 我姐 回来 一家人 不 都 很 累 幅 病魔 药物 副作用 缠身 躯壳 不见得 爸 好 心 估计 更 鲜血淋漓 都 很 累 累 我来 承受 所有人 都 告诉 我要 换位 思考 想 说 还要 换位 思考 还要 做 才能 不 自私 说 永远 都 自始至终 这么久 生死 活来 不 都 一个 人熬 何曾 一点点 会 升起 一丝丝 表面 愧疚 感 强行 亲情 拉 倒下 却 还要 去 抱抱 再 说 爱 止不住 恶心 想 吐 看过 一个 视频 讲得 真 亲子关系 中 最 悲哀 争吵 破裂 父母心 死 事 大事 特别 小 事 都 不再 抱 期待 早已 不 期待 改变 亦 给予 希望 少 一点 伤害 内心深处 对待 原生 家庭 心如止水 爱 感恩 会 担心 是因为 爱 这条 不 想要 选择 生命 物质 上 养育 骂骂咧咧 还 药物 心理咨询 仅仅 父母 再 见证 生命 奇迹 昨天 吃不下 东西 睡 三个 小时 噩梦 走 快 两万步 感觉 身体 隔离 没 吃 东西 食物 想 吐 好 朋友 才 勉强 吃得下 一顿 晚饭 吃 完 不 好 饿 好 饿 冲动 消费 买 一堆 糕点 刚 吃 半块 吐 真的 居然 都 没 死 都 挺 震惊 不知 痛苦 最深处 灵魂 之光 快要 掐灭 涌 上 一股 现实 带给 痛苦 之外 一种 心脏 贯彻 全身 一个 毛孔 心 痛感 生命 遗憾 早已 渴望 爱 拯救 好像 一个 熟悉 身影 眼前 想 去 抓 想 说 对不起 太 没用 还 没能 保护 还 等到 不行 真的 好 难过 好 难过
1,都 一堆 事情 弄 神经衰弱 家人 聚在一起 最终 日常 想 死 没 死 昨天 大半夜 晚上 不想 开灯 一头 撞 门上 很 懵 最烦 上 建构 指甲 撞 裂开 刚好 美甲 小姐姐 团建 不 开门 裂开 或许 温度 春天 本身 容不下 雪人 雪人 伤害 任何人 白天 容不下 黑夜 或许 希望 雪人 告诉 春天 头疼 好 刚刚开始 上 心理 模拟 个案 直播 课 真实 感受 大佬 同学 真的 太 亲和力 抽丝剥茧 行 高中生 高中 牲 感觉 个案 状态 差不多 还要 咨询师 角色 上 思考 神游 老师 一圈 想法 真的 挺 有意思 呼吸
1,都 痛苦 躯体 化 周旋 有时候 会 沉浸 去 体会 受不了 听歌 写 写诗 写 写毛笔字 看 艺术作品 看 鲜花 稍微 好点 干 事情 哲学史 塔罗 魔药 阿卡西 女巫 不 想 好好 精益 书 想 研究 荣格 红书 神秘学 心理学 纯属 感兴趣 发现 家里 一厚本 梦 解析 没看 完 桌上 放着 看 一半 窄门 昨晚 刚 下单 两本 铁生 病隙 碎笔 务虚 笔记 冲动 好 先 好好 冬天 熬过去 不 灵魂深处 那份 爱 我会 去 追 去 坚守 直至 灵魂 消散 一刻 加油 愿 都 找到 值得 坚守 东西 真的 超级 超级 棒 哒 爱
1,勉强 还 存活 还 呼吸 精神 不好 抑郁 发作 人 说 还 不 开心 这么久 还好 不 多人 都 围着 转来 爱 亲手 救 人 推开 说 不加 掩饰 一点 相当于 哮喘 发作 人 说 一点 都 看 到处 都 空气 快 呼吸 浪费 世界 资源 不去 呼吸 无 语 有时候 代表 一种 表情 还 代表 一种 心境
1,早就 明白 最 讨厌 女儿 不 回 信息 担心 出事 着急 询问 妹妹 妹妹 却说 没事 还发 朋友圈 那条 朋友圈 看不见 总 说 妹妹 最 理解 在家 做 家务 分担 承受 婚姻 痛苦 总 说 妹妹 好看 妹妹 大胆 校园 欺负 说 兼职 离家 特别 远 说 妄图 我会 买 电动车 赚钱 买 从来 都 没 却 下 死 命令 妹妹 初一 答应 买 电瓶车 上学 妹妹 初中 学校 都 走路 上学 妹妹 不 丑陋 内向 不 懂 理解 最 不 喜欢 最 没出息 女儿
1,千万 伤害 发现 会 面临 很多 好奇 责怪 解释
1,人 会 快乐 爱 世界 很 不 公平 我要 山要 水要 爱要 自由 开玩笑 痛死 心中 自由 像是 陆地 上 山川 爱 漫天 霞光 天空 兼得 我会 自由 山海 做成 水晶球 送给 爱 送给 独一无二 我用 尽全力 去 爱 只 可惜 机会 送 生命 中 最 盛大 雪来 赠 一场 春天 世界 好大 透支 好像 不值一提 都 不 选择 去 爱 想到 痛苦 永恒 不知 遗憾 夕阳 照亮 几分钟 漫天 云层 不起 温柔
1,懂 同频 咨询师 感动 啊啊啊 理解 共情 主动 走入 世界 看待 感受 真的 在精神上 沟通 意象 沟通 世界 看法 知己 感觉 啊啊啊 来说 一种 新 感受 喜欢 害羞 悸动 双生 火焰 心灵感应 在精神上 超越 时空 同行者 沟通 美杜莎 沟通 古希腊 神话 世界 审判 沟通 或许 当有 蛇 背后 样子 眼睛 便 人 石化 会 流泪 或许 命运 安排 相遇 给予 方向 却 平等 自由 说 喜欢 更 欣赏 敬佩
1,生活 本来 足够 难 日常 真的 不想 再 接收 负 能量 事情 不 再受 一丁点 委屈 书 好看 看饭 好吃 吃 奶茶 好喝 喝 朋友 交就交 相处 不 舒服 不 做 朋友 开心 快乐 好 世界 只来 开心 对错
1,失眠 梦 囚禁 身体 里 未 流下 眼泪 最终 去 蔓延 全身 血管 里 感受 血 苦涩 面孔 模糊 起伏 跳动 声响 说 一缕 风 爱本 风 再 浓烈 扎根 大地 说 快 承受不住 撑下去 泪水 请 再次 青睐 眼眶 痛苦 甘之如饴
1,世人 都 嘲笑 飞蛾扑火 得知 飞蛾扑火 飞蛾 此生 最 快乐 时光 想到 生病 想 说 还 还 超话 里 灵魂深处 都 光 无关 希望 绝望 无关 不 无关 好 才能 好 好 词 本身 蕴含着 太 悖论 可分解 东西 热爱 永不 落山 世纪 告白 玫瑰 烈酒 敬 自由 我祝 超话 宝贝 永远 年轻 永远 热泪盈眶 痛苦 同行
1,事实证明 吃饭 早点 睡 吃 安眠药 休息 放松 最早 睡 最 晚起 头疼 炸裂 最 无力 噩梦 困得 最深 太难 睡 不 睡 活着 死去 都 做 不到 夹生 生活 一堆 乱七八糟 事情 不 类型 破烂 事儿 一块儿 最 崩溃 撑不住 父母 总来 补 一刀 循环往复 逼 无奈 活着 唯一 执着 念头 爱 人 不得不 学会 一个 人 吞下 苦涩 露出 一退 再 退 底线 我舅 匿名 寄 一大堆 心灵鸡汤 快递 吓死 不 物色 一个 朋友 咨询师 妄图 换掉 我刚 稳定 现 咨给 快 两个 小时 电话 不 妥协 不得不 缓兵之计 说 学 心理学 就让 老师 无奈 加 人微信 翻 一遍 人 朋友圈 发现 打着 心理 搞 教育 机构 瞬间 懂 学 课 流派 理解 发给 婉转 坚定 态度 方向 总算 事儿 弄完 马上 几个 月 前 咨 找 纠缠 分析 讨论 结束 咨询 心 大 波动 烦躁 想吐得 更 厉害 最终 组织 好 语言 拒绝 态度 说 感谢 成长 挑不出 毛病 父母 日常 表演 师父 紧急情况 真的 只能 鸡零狗碎 形容 生活 累是 真的 累 崩溃 真的 崩溃 唯一 或许 对比 从前 终于 看清 一点 自性 终于 懂 千里 说 那句话 依旧 厌恶 极致 生活 痛苦 恐惧 混乱 一团糟 好像 看 灵魂 里 自性 源头 火光 极其 微弱 却 熄灭 想 是因为 从来 没想 涅槃 重生 自毁 本能 中 唯一 清醒 竟然 是因为 爱 一个 人 都 火光 放手 或许 都 会 怀疑 讨厌 慢慢 学会 爱 一个 人 经历 想 说 爱 超话 里 人 比起 爱 面具 上 优秀 美好 更 爱 残缺 却 鲜活 灵魂 好像 一刻 死 而生 黑暗 中 盛开 向日葵 定义 想起 很早以前 看过 一句 话 不 活下去 活下去
1,都 呼吸 急促 心率 加快 恶心 干呕 噩梦 缠烧 神经衰弱 都 富马酸 喹硫平 劳 拉西 泮 文拉法辛 深夜 失眠 不数 羊 不配 数星星 我数 人生 里 罪孽 数 抓住 手 说 好好 爱 我试 忘记 想 逃 我能 逃亡 弥足珍贵 开心 时 眼前 浮现 胡思乱想 情绪 反扑 都 麻木 意识 梦魇 里 模糊 沼泽 里 饿 不 记得 还 记得 我爱你 好 痛苦 直至 清醒 世间 一切都在 提醒 无能 罪恶 说 没关系 只 希望 开心 快乐 自由 平安 难过 时 有人 陪 致命 时 挡 子弹 不 泪水 浸透 夜晚 迷糊 呻吟 我该 走 求 走 好 对不起 终究 做 不到 或许 药物 酒精 灌穿 这份 爱 早已 脏兮兮 不堪 目的 利剑 对不起 对不起 两个 小时 就要 起床 去 医院 好 累 家好 累活 好 难
1,熟悉 失控 心 痛感 我能 生与死 一个 全都 由不得 皆 幻相 意识 真的 好累 带 走 偶然 刷到 一个 怎样才能 拯救 有人 答钱 有人 答情 有人 答 快乐 真的 选择 想 最 想 听到 医生 说 小姐 只 剩下 一个月 生命 医者 难自医 塔罗 师 深知 早已 沦陷 情绪 无底洞 里 深知 宇宙 法则 深知 原有 希望 道理 没 办法 只能 看着 一点点 再次 陷 进去 曾 说 愿力 大于 业力 从前 不 信 神魔 恍惚 去 求 一丁点儿 缘分 缘 份 天定 自我 聚散 都 由不得 平静 多变 环境 中 感受 能量 杂乱 混沌 生活 中 痛苦 永恒 别人 说 放过 深知 化地 囚 从来 不仅仅 幸福 简单 难得 感觉 死 东西 不让 放手 还记 初心 感觉 活不了 几天 深入骨髓 痛苦 无力 绝望 从未 一刻 远离 早知如此 不 种 樱桃 种一树 相思 冬天 死 怀念 不死
1,旅行 是从 一个 痛苦 地方 转移 一个 痛苦 地方 心脏 刺痛 崩溃 瞬间 身体 无力 恶心感 都 少 看着 旁边 吵吵闹闹 小孩 只能 感叹 欲 买 桂花 同载 酒终 不似 少年游 人 谈何 未来 冬天 都 熬 不 诗歌 文学 纯粹 头上 停落 蝴蝶 仅仅 非凡 美丽 衬托 荒谬 可笑
1,死亡 边缘 记忆 都 袭 明明 差点儿 死 熬过来 熬过来 一无所有 好 难过 心脏 好痛 抛弃 至今 都 记得 那天 午夜 我姐 回答 抛弃 描述 更 一点 无话可说 泪眼 婆娑 再 接上 三四个 月 前 灵魂 说 活着 好 痛苦 好难 咨询师 出乎意料 一句 真的 活着 惊恐 迷茫 失控 崩溃 内耗 自我 怀疑 对比 从未 我会 选 真的 意义 不 破碎 厉害 我会 一点点 去 修补 心 曾 看清 控制 不住 话 一句句 此刻 脑子里 徘徊 从来 活着 爱过 都 假 去 病友 毫无意义 救 不了 别人 更 救 不了 心脏 疼
1,头疼 胃疼 熟悉 猛烈 心脏 疼 感觉 痛苦 无力 陷入 情绪 反扑 爱 怀疑 中 迷迷糊糊 中 依旧 想像 从前 寻求 酒精 药物 麻痹 恍惚 中 感受 不 痛苦 感受 刹那间 分不清 感受 情绪 跳动 难过 第一次 经常性 心疼 有时候 我能 分得清 躯体 化 情绪 更 像是 一种 心疼 处境 感受 一瞬间 相交 转瞬即逝 久久 不能忘怀 说不出 道不明 感觉 过得 好像 好 痛苦 好 想 去 抱抱 或者说 爱上 便 希望 从今以后 经历 风雨 都 落 身上 恍惚 中 指引 倒下 逃避 来说 同一个 世界 活着 做 做 事情 不 破灭 希望 爱意 姐姐 不曾 人 海里 起伏 怎会 眼中 沉溺 我于 世界 奋力 向前 皆 后 跌落 时 一个 拥抱 世人 说 一场 沦陷 知 一条 涸 辙 鱼 爱 熬过 一个 沾 刺痛 夜晚
1,头疼 炸裂 还 找 不到 感冒药 本来 想着 妈 打个 电话 问 死去 记忆 袭 好像 不到 一个月 前 半夜 头疼 床上 阴暗 蠕动 找遍 找 地方 都 抗病毒 药 打电话 妈 妈 不理 实在 受不了 疯狂 打电话 骚扰 早上 终于 送药 感觉 送与 不送 好像 没什么 区别 送来 经历 一顿 暴风雨 噼里啪啦 地骂 自作自受 我爸 还 这件 事 讽刺 好久 刚 算了 自生自灭 这辈子 受得 疼 少 床头柜 找到 仅存 半包 药 999 感冒 灵 半死不活
1,往前 一步 内耗 会 杀死 往后 一步 思念 会 杀死 我朝 左 一步 病魔 身体 会 杀死 朝右 一步 万般 虚无 假象 中 永恒 鲜活 痛苦 会 杀死 不知 形容 啜泣 控制 极端 天气 或许 想要 泪花 莅临 想要 欲望 想要 爱 想要 逃离 挣脱 痛苦 只 可惜 世界 残局 心 面对 现实 从始至终 都 阴天 不 期待 解决 落差 感 办法 只 可惜 真的 做 不到 缘分 稀薄 寡淡 相逢 一路 痛苦 交融 心疼 这般 只能 说 万般 感激 明知 诚意 想 去 再 找 医生 药 看法 感觉 貌似 作用 不 大 现实 真的 太忙且 不 关注 重点 借口 不想 动
